time,vehicle_count,avg_speed,speed_std,avg_acceleration,acc_std,avg_co2,avg_fuel,sudden_brake_count
0,1,0.0,,0.0,,1521.0,493.1,0
1,2,0.8329802285181358,1.1780119363589876,0.8329802285181358,1.1780119363589876,2305.0787421051155,747.2594180829897,0
2,3,1.9651470082812008,1.8071063807444367,1.4098268559357772,1.241558148902039,3114.4690670615673,1009.6401232457979,0
3,4,2.891490906180115,2.2918360478071467,1.4176306499692146,1.0194154206980426,3333.6044660641296,1080.6843797674453,0
4,5,3.900789909684099,2.8642044905084907,1.587597184740007,0.9567639069763835,3850.954818849202,1248.4023642159348,0
5,6,5.007932135218289,3.5660248915403168,1.7572738771482062,0.9043733559684688,4529.809384416564,1468.4777283020005,0
6,7,5.888198731789765,4.27248193336931,1.5956854730312313,0.7929625716631942,4633.268329768456,1502.0227173040298,0
7,8,7.033482079883106,4.924625210636862,1.8813081895670618,0.8558362477800696,5620.825384666347,1822.1694770514994,0
8,9,7.4708374926476075,5.4867442693613295,1.2188534216404028,1.1488626284957741,4368.12430361837,1416.0687838603849,0
9,10,8.051195526725358,5.971652432987036,1.3274417833425107,0.7736446249011683,4893.169199351005,1586.2827098973498,0
10,11,8.030714491046588,5.645320484303138,0.7114458303871707,1.6371758273163903,3698.178536277611,1198.8870974421409,1
11,12,7.900415329033252,5.282084096501203,0.5389270455738812,1.8962326837899652,3204.435158467275,1038.8209681088067,1
12,13,7.748971645107543,5.158194945373431,0.45628057215377105,2.1219705152938073,3676.6590763478544,1191.9085975602077,2
13,14,7.636980021936308,5.557554858351004,0.44150635147930395,2.024827231717809,3839.752339674065,1244.7815587806979,1
14,15,7.812083244047915,5.55669803596787,0.6842352235740272,1.662646985477433,3756.639549113269,1217.8359281365645,0
15,16,7.951919350315108,6.055458488965918,0.6280913090201878,1.9798117381072902,4396.043592720978,1425.1168386850254,2
16,17,8.582009344370476,6.774999898801806,1.0978499558386094,1.490867131040219,5323.0513759930545,1725.6375552209838,1
17,18,8.85054965932252,6.389033943972417,0.7453186118615153,1.8006686056229992,4000.6541606544406,1296.9426689898041,1
18,19,8.675011352899292,5.692869825163122,0.29028009669901095,2.0580049737542865,3541.2141692498362,1148.0029167662442,2
19,20,8.53914823116591,5.577920107649941,0.2978874459115826,2.3167859882919735,3948.9291598234777,1280.1738886649146,4
20,21,8.238596939754691,5.832722958098338,0.10607481483477489,2.2507715951811185,3731.937718579162,1209.8306711230823,3
21,22,8.109997627841981,5.953648783055514,0.24588236716704975,2.214619726971399,3853.236240451144,1249.151875348791,3
22,23,8.203194169869526,6.195194599199056,0.4458051345424132,1.7929367747458318,3755.07369526945,1217.328771270621,1
23,24,8.77269624371932,6.5664965419800465,0.911301830927691,1.4819666312429316,4759.534433288451,1542.9570962564749,1
24,25,9.195166919369766,6.9856912488603715,0.7733785253992207,1.4939058462398702,4304.353107866809,1395.3939566985587,1
25,26,10.037492924468202,7.130782902106473,1.19598627122804,1.1136855745708807,5194.384784779717,1683.9267530103987,0
26,27,10.74713860326965,7.215931959620458,1.0814046760039766,1.0951574327235787,4883.2602710196,1583.0698512735323,0
27,28,10.988326109706403,7.095297263456659,0.6250138851249523,1.686588860150685,4201.700418089982,1362.1218144008583,2
28,29,10.65840243154084,6.9507076481427905,0.04898411872086385,2.2268909391618927,3807.102924954107,1234.1968476424404,5
29,30,10.184896864586687,6.875705311184066,-0.11822548590278917,2.513644477798972,3956.503439054112,1282.6309630182361,8
30,31,10.040402618833747,6.860095876204356,0.18405081439501725,2.252771931882735,4251.023426410919,1378.1083304634508,4
31,32,10.214670526891362,6.752345183391391,0.48803048989616993,2.1008185644244772,4412.185284621742,1430.3533591602359,4
32,33,10.17286570257908,6.730602537567053,0.2677306461995759,1.9063674463263778,3760.8967149523774,1219.2197574835566,3
33,34,10.168239210407803,6.401749222481306,0.29457544025751903,2.213036185874862,4076.2228619659027,1321.439199405278,5
34,35,9.963899111582373,6.209843775491374,0.08618102147193592,2.1262277252127024,3614.6581321182643,1171.8115740705155,5
35,36,9.75634055058986,6.152645338188933,0.06921641432922039,2.2001905892969895,3520.5779028985125,1141.3150759658097,7
36,37,9.782072382572304,6.4638875004847725,0.28941671172811584,2.2068736026834155,4074.237757743263,1320.8006268564277,5
37,38,10.111863674120869,6.729261947295639,0.5872142489846773,1.4638329068049327,4030.960520379281,1306.7703206511826,0
38,39,10.559882041336108,6.986615280136641,0.7072969229619288,1.2065379257413238,4434.498223999447,1437.591426731686,1
39,39,10.34485638427257,6.640124521139747,0.5016145332306757,1.6407156537132865,4095.967144825703,1327.843484900103,3
40,40,10.544521218877787,6.69123728008684,0.4582862442120324,1.655448742728509,3876.1298097436907,1256.5741762248094,2
41,41,10.819214109225515,6.645669209608512,0.531876334710601,1.9549897096902367,4366.174770090306,1415.4358126367888,4
42,42,10.687793474073967,6.713560419823898,0.12617970078239363,2.2501628156039097,4086.580105780637,1324.8003886717358,5
43,43,10.973137448730393,6.046995340096606,0.5338973112627973,1.8985265736917745,3971.429259720461,1287.4730637143557,4
44,44,11.120049278385585,5.540183830447165,0.3963013171263364,2.086594322813129,4394.494653665745,1424.622201544707,6
45,45,11.076423736423072,5.552717767267366,0.20348666422383388,2.0614779999306516,4044.692096090987,1311.2207652105146,6
46,46,10.481493498233167,5.49732565885192,-0.35413841783288197,2.4657425384571567,3544.4903515453047,1149.0631668117653,9
47,47,9.768514195486578,5.521483211719842,-0.48996880278418065,2.5868411946540464,3228.3819098446647,1046.5860340667464,13
48,48,9.87030764779998,5.621478660519708,0.30530416471937116,1.9878942041418906,3794.071327780312,1229.976466651594,6
49,49,10.02610382727238,5.746545611309124,0.3572310294275022,1.9160944498217651,3723.398299101046,1207.0648203421576,6
50,50,10.378330731123567,5.82431236662865,0.5527489803966348,1.7813122686323595,4077.043275828446,1321.7116838172753,4
51,51,10.968787589927805,5.94620773839909,0.7939535398066607,1.6294847402328982,4705.021644113614,1525.2928140279469,2
52,51,11.383389737074204,5.463753269723501,0.4146021471463984,1.993982636233125,4005.4837968966276,1298.5140080226918,6
53,52,10.863267719798472,5.670237888461333,-0.031665662110750586,2.391878968756986,4027.253495582493,1305.5688436764904,10
54,53,11.096545656730239,5.89689158253196,0.43824525239966267,2.154901786241236,4781.104860912914,1549.9522918810414,8
55,54,11.02686451125319,6.284639967686832,0.13581044075869636,2.0641795645038568,3977.82756148906,1289.5459237415675,7
56,55,11.079027230968688,6.157506583870532,0.2526511653746458,2.043815766898605,4186.682236587113,1357.251374308566,6
